Date,DCOILBRENTEU
2017/3/7,54.60 
2017/3/8,53.30 
2017/3/9,50.70 
2017/3/10,50.60 
2017/3/13,50.10 
2017/3/14,49.60 
2017/3/15,50.60 
2017/3/16,50.60 
2017/3/17,50.60 
2017/3/20,50.70 
2017/3/21,50.10 
2017/3/22,49.60 
2017/3/23,50.20 
2017/3/24,50.00 
2017/3/27,50.10 
2017/3/28,50.70 
2017/3/29,51.40 
2017/3/30,52.30 
2017/3/31,52.20 
2017/4/3,52.00 
2017/4/4,53.10 
2017/4/5,53.40 
2017/4/6,53.60 
2017/4/7,54.20 
2017/4/10,54.80 
2017/4/11,54.70 
2017/4/12,54.80 
2017/4/13,55.10 
2017/4/14,.
2017/4/17,54.80 
2017/4/18,52.60 
2017/4/19,52.40 
2017/4/20,50.70 
2017/4/21,49.90 
2017/4/24,49.50 
2017/4/25,49.40 
2017/4/26,50.00 
2017/4/27,49.50 
2017/4/28,49.50 
2017/5/1,50.40 
2017/5/2,49.30 
2017/5/3,48.80 
2017/5/4,47.50 
2017/5/5,47.50 
2017/5/8,46.60 
2017/5/9,47.10 
2017/5/10,48.10 
2017/5/11,49.20 
2017/5/12,49.10 
2017/5/15,51.30 
2017/5/16,51.20 
2017/5/17,51.80 
2017/5/18,51.70 
2017/5/19,52.80 
2017/5/22,53.40 
2017/5/23,53.20 
2017/5/24,53.30 
2017/5/25,52.30 
2017/5/26,50.80 
2017/5/29,52.30 
2017/5/30,50.70 
2017/5/31,49.40 
2017/6/1,50.40 
2017/6/2,48.50 
2017/6/5,48.30 
2017/6/6,48.10 
2017/6/7,47.10 
2017/6/8,46.30 
2017/6/9,46.60 
2017/6/12,47.20 
2017/6/13,47.00 
2017/6/14,45.50 
2017/6/15,45.60 
2017/6/16,45.70 
2017/6/19,45.90 
2017/6/20,44.00 
2017/6/21,44.60 
2017/6/22,44.50 
2017/6/23,44.10 
2017/6/26,44.10 
2017/6/27,46.20 
2017/6/28,46.50 
2017/6/29,47.00 
2017/6/30,47.10 
2017/7/3,49.10 
2017/7/4,49.20 
2017/7/5,47.60 
2017/7/6,48.50 
2017/7/7,46.50 
2017/7/10,46.60 
2017/7/11,46.70 
2017/7/12,46.70 
2017/7/13,47.70 
2017/7/14,47.90 
2017/7/17,47.70 
2017/7/18,47.90 
2017/7/19,48.30 
2017/7/20,48.50 
2017/7/21,47.50 
2017/7/24,47.80 
2017/7/25,49.20 
2017/7/26,50.10 
2017/7/27,50.70 
2017/7/28,52.00 
2017/7/31,52.00 
2017/8/1,50.80 
2017/8/2,52.10 
2017/8/3,52.90 
2017/8/4,52.50 
2017/8/7,51.40 
2017/8/8,52.20 
2017/8/9,52.20 
2017/8/10,52.60 
2017/8/11,51.50 
2017/8/14,51.30 
2017/8/15,49.90 
2017/8/16,50.40 
2017/8/17,50.40 
2017/8/18,51.00 
2017/8/21,51.90 
2017/8/22,52.30 
2017/8/23,52.30 
2017/8/24,51.70 
2017/8/25,51.90 
2017/8/28,51.90 
2017/8/29,51.60 
2017/8/30,51.90 
2017/8/31,52.70 
2017/9/1,53.20 
2017/9/4,52.60 
2017/9/5,53.60 
2017/9/6,54.50 
2017/9/7,54.20 
2017/9/8,54.60 
2017/9/11,54.20 
2017/9/12,55.10 
2017/9/13,55.50 
2017/9/14,56.80 
2017/9/15,56.20 
2017/9/18,55.50 
2017/9/19,56.60 
2017/9/20,57.20 
2017/9/21,57.70 
2017/9/22,58.20 
2017/9/25,59.40 
2017/9/26,59.80 
2017/9/27,58.70 
2017/9/28,58.80 
2017/9/29,57.00 
2017/10/2,55.70 
2017/10/3,56.10 
2017/10/4,56.00 
2017/10/5,57.10 
2017/10/6,55.50 
2017/10/9,55.30 
2017/10/10,56.60 
2017/10/11,56.10 
2017/10/12,56.10 
2017/10/13,56.90 
2017/10/16,57.50 
2017/10/17,57.60 
2017/10/18,58.10 
2017/10/19,57.80 
2017/10/20,57.90 
2017/10/23,57.70 
2017/10/24,57.80 
2017/10/25,58.50 
2017/10/26,58.80 
2017/10/27,60.20 
2017/10/30,60.70 
2017/10/31,61.40 
2017/11/1,61.00 
2017/11/2,60.80 
2017/11/3,61.40 
2017/11/6,64.30 
2017/11/7,64.40 
2017/11/8,64.00 
2017/11/9,64.50 
2017/11/10,64.40 
2017/11/13,62.90 
2017/11/14,60.90 
2017/11/15,61.30 
2017/11/16,61.20 
2017/11/17,61.30 
2017/11/20,61.30 
2017/11/21,62.30 
2017/11/22,62.90 
2017/11/23,63.30 
2017/11/24,63.60 
2017/11/27,63.30 
2017/11/28,63.60 
2017/11/29,63.70 
2017/11/30,63.50 
2017/12/1,64.60 
2017/12/4,63.50 
2017/12/5,63.50 
2017/12/6,62.30 
2017/12/7,62.40 
2017/12/8,63.90 
2017/12/11,65.60 
2017/12/12,65.00 
2017/12/13,63.70 
2017/12/14,63.70 
2017/12/15,63.80 
2017/12/18,64.50 
2017/12/19,63.70 
2017/12/20,64.40 
2017/12/21,64.60 
2017/12/22,64.60 
2017/12/25,.
2017/12/26,.
2017/12/27,66.00 
2017/12/28,66.80 
2017/12/29,66.70 
2018/1/1,.
2018/1/2,66.70 
2018/1/3,67.90 
2018/1/4,68.70 
2018/1/5,68.00 
2018/1/8,68.50 
2018/1/9,69.10 
2018/1/10,69.80 
2018/1/11,70.40 
