Date,SP500
2019/1/2,2510.03
2019/1/3,2447.89
2019/1/4,2531.94
2019/1/7,2549.69
2019/1/8,2574.41
2019/1/9,2584.96
2019/1/10,2596.64
2019/1/11,2596.26
2019/1/14,2582.61
2019/1/15,2610.3
2019/1/16,2616.1
2019/1/17,2635.96
2019/1/18,2670.71
2019/1/21,.
2019/1/22,2632.9
2019/1/23,2638.7
2019/1/24,2642.33
2019/1/25,2664.76
2019/1/28,2643.85
2019/1/29,2640
2019/1/30,2681.05
2019/1/31,2704.1
2019/2/1,2706.53
2019/2/4,2724.87
2019/2/5,2737.7
2019/2/6,2731.61
2019/2/7,2706.05
2019/2/8,2707.88
2019/2/11,2709.8
2019/2/12,2744.73
2019/2/13,2753.03
2019/2/14,2745.73
2019/2/15,2775.6
2019/2/18,.
2019/2/19,2779.76
2019/2/20,2784.7
2019/2/21,2774.88
2019/2/22,2792.67
2019/2/25,2796.11
2019/2/26,2793.9
2019/2/27,2792.38
2019/2/28,2784.49
2019/3/1,2803.69
2019/3/4,2792.81
2019/3/5,2789.65
2019/3/6,2771.45
2019/3/7,2748.93
2019/3/8,2743.07
2019/3/11,2783.3
2019/3/12,2791.52
2019/3/13,2810.92
2019/3/14,2808.48
2019/3/15,2822.48
2019/3/18,2832.94
2019/3/19,2832.57
2019/3/20,2824.23
2019/3/21,2854.88
2019/3/22,2800.71
2019/3/25,2798.36
2019/3/26,2818.46
2019/3/27,2805.37
2019/3/28,2815.44
2019/3/29,2834.4
2019/4/1,2867.19
2019/4/2,2867.24
2019/4/3,2873.4
2019/4/4,2879.39
2019/4/5,2892.74
2019/4/8,2895.77
2019/4/9,2878.2
2019/4/10,2888.21
2019/4/11,2888.32
2019/4/12,2907.41
2019/4/15,2905.58
2019/4/16,2907.06
2019/4/17,2900.45
2019/4/18,2905.03
2019/4/19,.
2019/4/22,2907.97
2019/4/23,2933.68
2019/4/24,2927.25
2019/4/25,2926.17
2019/4/26,2939.88
2019/4/29,2943.03
2019/4/30,2945.83
2019/5/1,2923.73
2019/5/2,2917.52
2019/5/3,2945.64
2019/5/6,2932.47
2019/5/7,2884.05
2019/5/8,2879.42
2019/5/9,2870.72
2019/5/10,2881.4
2019/5/13,2811.87
2019/5/14,2834.41
2019/5/15,2850.96
2019/5/16,2876.32
2019/5/17,2859.53
2019/5/20,2840.23
2019/5/21,2864.36
2019/5/22,2856.27
2019/5/23,2822.24
2019/5/24,2826.06
2019/5/27,.
2019/5/28,2802.39
2019/5/29,2783.02
